ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item Description,Item category,Price,Sale price,Contextual keywords,Item address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price,Formatted sale price
921826_001_8.5_CNF,,Nike air max 97,http://ballzy.eu/et/product/nike-air-max-97-921826-001-8-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_921826_001_8.5_CNF_23870d4f.jpg,,"järgmine peatus: nike air max 97, mille originaalne laineline disain on inspireeritud jaapani kiirrongidest, võimaldab sul oma stiili täie hooga edasi viia. võttes revolutsioonilise täispika nike airi üksuse, mis raputas jooksumaailma, ning lisades sellele värsked värvid ja teravad detailid, saad sõita esmaklassilises mugavuses… toote omadused: mesh ja sünteetilised materjalid pealsel säilitavad og voolava välimuse, lisades samas mugavust ja vastupidavust… algselt j",Men's Street Shoes,199.00 EUR,,"Nike,Black,Lifestyle,in stock,No,Nike,Male",,,,,,,,199€,
AV3042_100_8_CNF,,Air force 1 flyknit 2.0,http://ballzy.eu/et/product/air-force-1-flyknit-2-0-av3042-100-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_AV3042_100_8_CNF_f039d73f.jpg,,"kerge kui õhelegend… nike air force 1 flyknit 2.0, mis on inspireeritud alates 1982. aastast väljakuid valitsevast kingast, toob tagasi af1-i, mis on kergem kui kunagi varem. flyknit-konstruktsioon koos klassikalise af1 disainiliinidega pakub vanakooli korvpallivibuusi, mis on pehmekaaluline… tooteomadused: nike air tehnoloogia pakub suurepärast pehmendust… flyknit konstruktsioon kohandub sinu jalale, pakkudes tuge ja kerget tunnetust… vahtpolster on p",Men's Street Shoes,129.00 EUR,,"Nike,White,Lifestyle,in stock,No,Nike,Male",,,,,,,,129€,
B75806_8_CNF,,Samba og,http://ballzy.eu/et/product/samba-og-b75806-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_B75806_8_CNF_067490e2.jpg,,samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga.,Women's Street Shoes,119.00 EUR,,"adidas Originals,White,Lifestyle,in stock,No,adidas Originals,Male|Female",,,,,,,,119€,
B75807_8_CNF,,Samba og,http://ballzy.eu/et/product/samba-og-b75807-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_B75807_8_CNF_73c271dc.jpg,,samba on sündinud väljakul ja on tänavastiili ajatu ikoon. need jalatsid jäävad oma pärandile truuks pehme nahast pealse ja mokkade kattekihiga.,Kids' Street Shoes,119.00 EUR,,"adidas Originals,Black,Lifestyle,in stock,No,adidas Originals,Male|Female|Children",,,,,,,,119€,
162050C_001_10_CNF,,Chuck 70 hi,http://ballzy.eu/et/product/chuck-70-hi-162050c-001-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_162050C_001_10_CNF_d9c76ec7.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,94.00 EUR,,"Converse,Black,Lifestyle,in stock,No,Converse,Male|Female",,,,,,,,94€,
162058C_001_10_CNF,,Chuck 70 ox,http://ballzy.eu/et/product/chuck-70-ox-162058c-001-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_162058C_001_10_CNF_13661d81.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,89.00 EUR,69.00 EUR,"Converse,Black,Lifestyle,in stock,Yes,Converse,Male|Female",,,,,,,,89€,69€
CI0919_100_6_CNF,,W af1 shadow,http://ballzy.eu/et/product/w-af1-shadow-ci0919-100-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_CI0919_100_6_CNF_303811c1.jpg,,"duble the af1. double the fun… nike air force 1 shadow paneb klassikalise b-palli disaini mängulisele pöörde. kasutades mitmekihilist lähenemist, kahekordistades brändi ja liialdades kesksooli, rõhutab see af-1 dna-d julge, uue välimusega… toote omadused: 2 silmaalust, 2 porikaitset, 2 tagumist silmaalust ja 2 swoosh´i kujundust, mis tagavad mitmekihilise välimuse ja kahekordse brändi… vahtpolster ja sooneline välistald tagavad, et kinga on kerge, paindlik ja",Women's Street Shoes,149.00 EUR,119.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,149€,119€
BD7632_7.5_CNF,,Handball spezial,http://ballzy.eu/et/product/handball-spezial-bd7632-7-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_BD7632_7.5_CNF_28ad3476.jpg,,"esmakordselt 1979. aastal eliitkäsipallurite jaoks kasutusele võetud kingad on nüüdseks armastatud oma klassikalise stiili tõttu. see versioon on valmistatud lehma mokkast pealsest, mis tagab paindliku tunde. pehme kummist välistald hoiab neid oma vintage-juurtele truuks.",Women's Street Shoes,114.00 EUR,99.00 EUR,"adidas Originals,Blue,Lifestyle,in stock,Yes,adidas Originals,Male|Female",,,,,,,,114€,99€
CW2288_111_8.5_CNF,,Air force 1 ´07,http://ballzy.eu/et/product/air-force-1-07-cw2288-111-8-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_CW2288_111_8.5_CNF_87253817.jpg,,"legendaarne stiil refined… sära elab edasi nike air force 1 ´07-s, b-palli og-s, mis paneb värske pöörde sellele, mida tunned kõige paremini: vastupidavad õmblused, puhas viimistlus ja täiuslik kogus välku, mis paneb sind särama… tooteomadused: nike air pehmendus lisab kerget ja kogu päeva kestvat mugavust… madalalt lõigatud siluett lisab puhta ja voolujoonelise välimuse… pehmendusega krae on pehme ja mugav… toote omadused alapealkirjad: pehmend",Men's Street Shoes,129.00 EUR,119.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Male",,,,,,,,129€,119€
VN000EYEW001_090_CNF,,Ua classic slip-on,http://ballzy.eu/et/product/ua-classic-slip-on-vn000eyew001-090-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN000EYEW001_090_CNF_de287aa1.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,69.00 EUR,49.00 EUR,"Vans,White,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,69€,49€
DH2920_111_4Y_CNF,,Air force 1 le gs,http://ballzy.eu/et/product/air-force-1-le-gs-dh2920-111-4y-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DH2920_111_4Y_CNF_c77279ee.jpg,,"salute to a legendale… sellest ongi legendid tehtud. nike air force 1 le toob tagasi 82. aasta kõvapuu ikooni igapäevaseks stiiliks, mis on täielikult valge või täielikult must. vastupidavus, tunnetus ja air on endiselt olemas neile, kes armastavad klassikalist… toote omadused: ehtne ja sünteetiline nahk on vastupidav ja kergesti puhastatav… varjatud air-põhjaüksus pakub klassikalist pehmendust… kummist tald toob vastupidava haardumise… toote om",Kids' Street Shoes,109.00 EUR,94.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Female|Children",,,,,,,,109€,94€
CT3839_002_4Y_CNF,,Air force 1 gs,http://ballzy.eu/et/product/air-force-1-gs-ct3839-002-4y-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_CT3839_002_4Y_CNF_b9b9f67b.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,119.00 EUR,78.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Female|Children",,,,,,,,119€,78€
VN000D3HY281_050_CNF,,Ua old skool,http://ballzy.eu/et/product/ua-old-skool-vn000d3hy281-050-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN000D3HY281_050_CNF_397cf6c5.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,79.00 EUR,69.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,79€,69€
VN000EYEBWW1_040_CNF,,Ua classic slip-on,http://ballzy.eu/et/product/ua-classic-slip-on-vn000eyebww1-040-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN000EYEBWW1_040_CNF_cc258f1a.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,69.00 EUR,49.00 EUR,"Vans,Multicolored,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,69€,49€
VN0A5I111KP1_090_CNF,,Ua sk8-hi gore-tex mte-3,http://ballzy.eu/et/product/ua-sk8-hi-gore-tex-mte-3-vn0a5i111kp1-090-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN0A5I111KP1_090_CNF_1a028649.jpg,,Spordiriided ballzy veebipoest.,Men's Boots,199.00 EUR,99.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male",,,,,,,,199€,99€
DH8010_100_6_CNF,,Wmns air max 90,http://ballzy.eu/et/product/wmns-air-max-90-dh8010-100-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DH8010_100_6_CNF_0e09ffda.jpg,,"miski pole nii lennukas, miski pole nii mugav, miski pole nii tõestatud - nike air max 90 jääb oma juurtele truuks koos ikoonilise waffle-talla, õmmeldud pealisehete ja klassikaliste tpu-aktsentidega. värsked detailid annavad moodsa välimuse, samas kui max airi pehmendus lisab mugavust teie teekonnale… toote omadused: algselt jooksmiseks loodud max air üksus kannas lisab uskumatut pehmendust… polsterdatud, madala tipuga krae näeb välja elegantne ja tundub suurepäran",Women's Street Shoes,169.00 EUR,79.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Female",,,,,,,,169€,79€
VN000D3HBKA1_130_CNF,,Ua old skool,http://ballzy.eu/et/product/ua-old-skool-vn000d3hbka1-130-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN000D3HBKA1_130_CNF_b13a146e.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,84.00 EUR,69.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male|Female",,,,,,,,84€,69€
162056C_102_10_CNF,,Chuck 70 hi,http://ballzy.eu/et/product/chuck-70-hi-162056c-102-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_162056C_102_10_CNF_6a26dfae.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,99.00 EUR,69.00 EUR,"Converse,White,Lifestyle,in stock,Yes,Converse,Male|Female|Children",,,,,,,,99€,69€
S2108_807_3.5_CNF,,Shadow original,http://ballzy.eu/et/product/shadow-original-s2108-807-3-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S2108_807_3.5_CNF_749c3a3b.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,129.00 EUR,89.00 EUR,"Saucony,Beež,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,129€,89€
S2044_642_3.5_CNF,,Jazz original,http://ballzy.eu/et/product/jazz-original-s2044-642-3-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S2044_642_3.5_CNF_c30c0c47.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
DB3021_11.5_CNF,,Handball spezial,http://ballzy.eu/et/product/handball-spezial-db3021-11-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DB3021_11.5_CNF_e749636c.jpg,,"esmakordselt 1979. aastal eliitkäsipallurite jaoks kasutusele võetud kingad on nüüdseks armastatud oma klassikalise stiili tõttu. see versioon on valmistatud lehma mokkast pealsest, mis tagab paindliku tunde. pehme kummist välistald hoiab neid oma vintage-juurtele truuks.",Men's Street Shoes,114.00 EUR,,"adidas Originals,Black,Lifestyle,in stock,No,adidas Originals,Male",,,,,,,,114€,
DM9650_001_4Y_CNF,,Air jordan 1 mid ss gs,http://ballzy.eu/et/product/air-jordan-1-mid-ss-gs-dm9650-001-4y-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DM9650_001_4Y_CNF_97a6718c.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,109.00 EUR,71.00 EUR,"Jordan,Red,Lifestyle,in stock,Yes,Jordan,Female|Children",,,,,,,,109€,71€
DM0211_100_8_CNF,,Air force 1 ´07 fresh,http://ballzy.eu/et/product/air-force-1-07-fresh-dm0211-100-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DM0211_100_8_CNF_4bfd5287.jpg,,"legendaarne stiil muutub värskeks… vananemist ei saa peatada, kuid air force 1 ""fresh"" jõuab sellele üsna lähedale. pehme, tekstuurne nahk aitab varjata kortsumist ja seda on lihtne puhastada. debossitud kaubamärgiga, mis asendab kootud sildid, paarib lisapaelad, nii et saate rahulikult seda marmelaadifunkrit süüa. ja perforeeritud sokkpolster hoiab selle õhulisuse ja hingavuse. nüüd ei ole tõesti mingit põhjust, miks mitte rokkida valgeid valgeid… tooteomadused: pe",Men's Street Shoes,134.00 EUR,,"Nike,White,Lifestyle,in stock,No,Nike,Male",,,,,,,,134€,
S1044_661_5_CNF,,Jazz original,http://ballzy.eu/et/product/jazz-original-s1044-661-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S1044_661_5_CNF_92e36cb9.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
S1044_662_5_CNF,,Jazz original,http://ballzy.eu/et/product/jazz-original-s1044-662-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S1044_662_5_CNF_cd969942.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,119.00 EUR,79.00 EUR,"Saucony,Beež,Lifestyle,in stock,Yes,Saucony,Female",,,,,,,,119€,79€
S2108_822_3.5_CNF,,Shadow original,http://ballzy.eu/et/product/shadow-original-s2108-822-3-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S2108_822_3.5_CNF_3439b7f1.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,134.00 EUR,89.00 EUR,"Saucony,Gray,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,134€,89€
MR530SG_8_CNF,,New balance 530,http://ballzy.eu/et/product/new-balance-530-mr530sg-8-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_MR530SG_8_CNF_d995976d.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,119.00 EUR,,"New Balance,White,Lifestyle,in stock,No,New Balance,Male|Female",,,,,,,,119€,
DH2925_111_10.5C_CNF,,Force 1 le ps,http://ballzy.eu/et/product/force-1-le-ps-dh2925-111-10-5c-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DH2925_111_10.5C_CNF_5d064fc3.jpg,,"salute to a legendale… sellest ongi legendid tehtud. nike force 1 le toob tagasi 82. aasta kõvapuu ikooni igapäevaseks stiiliks, mis on kas täielikult valge või täielikult must. lase vastupidavusel, pehmendusel ja tunnetusel tutvustada väikestele jalgadele klassikalist… toote omadused: ehtne ja sünteetiline nahk on vastupidav ja kergesti puhastatav… pehme vaht annab klassikalise pehmenduse… kummist tald toob vastupidava haardumise… toote omadust",Kids' Street Shoes,79.00 EUR,59.00 EUR,"Nike,White,Lifestyle,in stock,Yes,Nike,Children",,,,,,,,79€,59€
A00915C_281_10_CNF,,Chuck 70 plus hi egret/black/egret,http://ballzy.eu/et/product/chuck-70-plus-hi-egret-black-egret-a00915c-281-10-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_A00915C_281_10_CNF_b0ba8616.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,119.00 EUR,79.00 EUR,"Converse,Beež,Lifestyle,in stock,Yes,Converse,Male|Female|Children",,,,,,,,119€,79€
VN0A5HZYA041_085_CNF,,Ua sk8-hi mte-1,http://ballzy.eu/et/product/ua-sk8-hi-mte-1-vn0a5hzya041-085-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN0A5HZYA041_085_CNF_4820939f.jpg,,Spordiriided ballzy veebipoest.,Women's Street Shoes,124.00 EUR,49.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Female",,,,,,,,124€,49€
DD1399_105_6_CNF,,Nike dunk hi retro,http://ballzy.eu/et/product/nike-dunk-hi-retro-dd1399-105-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_DD1399_105_6_CNF_59f41d49.jpg,,"bringing old school back… 80ndate b-ball ikoon on loodud kõvaplatsile, kuid viidud tänavatele, '80ndate b-ball ikoon naaseb ideaalselt kaetud kattekihiga ja originaalsete ülikooli värvidega. nike dunk high retro klassikalise korvpalli disainiga toob 80ndate vintage´i tagasi tänavale, samas kui selle polsterdatud kõrge krae lisab vanakooli välimuse, mis põhineb mugavusel… toote omadused: pealse karge nahk on kergelt läikiv, vananeb pehmeks ja sellel on vastupidavad k",Kids' Street Shoes,149.00 EUR,97.00 EUR,"Nike,Black,Lifestyle,in stock,Yes,Nike,Male|Female|Children",,,,,,,,149€,97€
S70699_1_7_CNF,,3d grid hurricane,http://ballzy.eu/et/product/3d-grid-hurricane-s70699-1-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70699_1_7_CNF_67ba114f.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,174.00 EUR,109.00 EUR,"Saucony,White,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,174€,109€
S70699_2_7_CNF,,3d grid hurricane,http://ballzy.eu/et/product/3d-grid-hurricane-s70699-2-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70699_2_7_CNF_61ab9ab2.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,174.00 EUR,109.00 EUR,"Saucony,Black,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,174€,109€
TB0A5RPR0321_9.5_CNF,,Greyfield leather boot,http://ballzy.eu/et/product/greyfield-leather-boot-tb0a5rpr0321-9-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_TB0A5RPR0321_9.5_CNF_917e70c0.jpg,,"See naiste nahast saabas järgib töökohal inspireeritud disaini kaasaegsete omadustega. koos kvaliteetse timberland® nahast pealse ja vähemalt 50% taaskasutatud plastikust rebotl™ kangaga voodriga, sisaldab see saabas ka kummist talla osasid, mis teeb need vastupidavaks ja võimeliseks erinevatele maastikele. pealis valmistatud kvaliteetsest timberland® nubuk nahast timberland toetab vastutustundlikku nahatootmist leather working groupi kaudu rebotl™ kangast voode",Women's Boots,139.00 EUR,111.20 EUR,"Timberland,Gray,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,139€,111.20€
TB08658A0011_9.5_CNF,,6in premium boot - w,http://ballzy.eu/et/product/6in-premium-boot-w-tb08658a0011-9-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_TB08658A0011_9.5_CNF_e9789f12.jpg,,"Vastupidavad ja suurepärase väljanägemisega klassikalised naiste saapad on varustatud primaloft® eco isolatsiooniga ja nubuck better leather nahaga, mis pärineb jätkusuutlikust hõbedase hinnanguga naha parkimistehasest. mugav eva tallaosa tagab pehmenduse ja põrutuse summutamise. valmistatud kvaliteetsest nubuk better leather nahast, mis pärineb jätkusuutlikust naha parkimis tehasest, millele on omistatud hõbe hinnang veekasutuse, energiakasutuse ja jäätmemajanduse tõhususe eest.",Women's Boots,219.00 EUR,175.20 EUR,"Timberland,Black,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,219€,175.20€
MR530EMA_4_CNF,,New balance 530,http://ballzy.eu/et/product/new-balance-530-mr530ema-4-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_MR530EMA_4_CNF_eeef031b.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,114.00 EUR,,"New Balance,White,Lifestyle,in stock,No,New Balance,Male|Female|Children",,,,,,,,114€,
TB0A5MC42311_6_CNF,,6in hertbt cupsole,http://ballzy.eu/et/product/6in-hertbt-cupsole-tb0a5mc42311-6-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_TB0A5MC42311_6_CNF_ac7c526e.jpg,,Spordiriided ballzy veebipoest.,Women's Boots,209.00 EUR,99.00 EUR,"Timberland,Multicolored,Lifestyle,in stock,Yes,Timberland,Female",,,,,,,,209€,99€
S70716_1_5.5_CNF,,Shadow 5000,http://ballzy.eu/et/product/shadow-5000-s70716-1-5-5-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70716_1_5.5_CNF_1d3ae055.jpg,,Spordiriided ballzy veebipoest.,Men's Street Shoes,159.00 EUR,109.00 EUR,"Saucony,Beež,Lifestyle,in stock,Yes,Saucony,Male",,,,,,,,159€,109€
VN0005V4BLK1_085_CNF,,Skate half cab ´92 goretex,http://ballzy.eu/et/product/skate-half-cab-92-goretex-vn0005v4blk1-085-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_VN0005V4BLK1_085_CNF_24bec539.jpg,,Spordiriided ballzy veebipoest.,Men's Street Shoes,144.00 EUR,79.00 EUR,"Vans,Black,Lifestyle,in stock,Yes,Vans,Male",,,,,,,,144€,79€
S70704_1_7_CNF,,Progrid triumph 4,http://ballzy.eu/et/product/progrid-triumph-4-s70704-1-7-cnf,https://tanelneemoja.github.io/testing-somecool-stuff/generated_ads/ad_S70704_1_7_CNF_51a7881d.jpg,,Spordiriided ballzy veebipoest.,Kids' Street Shoes,179.00 EUR,129.00 EUR,"Saucony,Yellow,Lifestyle,in stock,Yes,Saucony,Male|Female|Children",,,,,,,,179€,129€
